State,Election  Type,VEP  Ballots  Counted,VEP,VAP,Democrat,Republican,Minor,Total  Ballots
Iowa,Caucus,15.7%,2286197,2403229,171109,186874,,357983
New  Hampshire,Primary,52.4%,1035734,1070657,254776,287683,,542459
Nevada,Caucus,8.2%,1936072,2248402,84000,75216,,159216
South  Carolina,Primary,30.5%,3663583,3837705,373063,745405,,1118468
Alabama,Primary,34.8%,3602334,3764601,397890,856123,,1254013
Arkansas,Primary,29.6%,2137115,2281940,221020,410920,,631940
Colorado,Caucus,,3928790,4259519,123508,,,
Georgia,Primary,29.9%,6900387,7781773,765366,1295963,,2061329
Massachusetts,Primary,37.4%,4966742,5442265,1220296,637703,1681,1859680
Minnesota,Caucus,8.5%,3967061,4225114,215000,122000,,337000
Oklahoma,Primary,28.6%,2781841,2966460,335554,459542,,795096
Tennessee,Primary,25.2%,4874592,5134596,371321,854792,,1226113
Texas,Primary,24.7%,17299279,20534676,1430000,2836000,,4266000
Vermont,Primary,39.8%,495563,506881,135256,61756,,197012
Virginia,Primary,30.1%,6022089,6549502,785041,1025425,,1810466
Kansas,Caucus,5.5%,2062778,2199237,40000,73116,,113116
Louisiana,Primary,18.2%,3373552,3569063,311776,301241,,613017
Maine,Caucus,6.1%,1054309,1074172,46000,18650,,64650
Michigan,Primary,33.9%,7419694,7734729,1193169,1322742,,2515911
Mississippi,Primary,28.6%,2181159,2267268,220560,403944,,624504
Florida,Primary,28.1%,14445578,16383763,1701707,2352549,,4054256
Illinois,Primary,36.9%,9015796,9907466,1948877,1379751,,3328628
Missouri,Primary,34.6%,4518767,4706349,626077,934957,2894,1563928
North  Carolina,Primary,31.2%,7266734,7816113,1129767,1139282,,2269049
Ohio,Primary,35.9%,8738019,9004337,1194637,1945606,,3140243
Arizona,Primary,20.2%,4659373,5268830,409013,530749,749,940511
Idaho,Caucus,21.4%,1149007,1234566,23884,222166,,246050
Utah,Caucus,13.0%,1963474,2113180,77344,177204,,254548
Alaska,Caucus,6.2%,520731,553484,10600,21930,,32530
Hawaii,Caucus,4.6%,1025208,1127205,33716,13377,,47093
